,Darija,MSA
4489,معندكش فورصا باش تاخود كريدي من شي موءساسا خايريا,أليس لديك فرصة للحصول على قرض من جمعية خيرية؟
4490,عارف بلي كاين بزاف ت الناس كايخدمو معا دور لموسينين,أعلم أن هناك الكثير من الأشخاص يعملون مع دور رعاية المسنين
4491,واش ماعمّرك لعبتي معا لموغانييين?,ألا تؤدي أبدًا مع الموسيقيين؟
4492,غير لأغنيا لأسبوعيا?,فقط الأغنية الأسبوعية؟
4493,ماكانعراف والو علا لكريديات,لا أعرف عن القروض
4494,لپيانو شي حاجا كبيرا,البيانو شيء كبير
4495,أغاني كاريتيا أُلغنا ديالي لكاريتي,أغاني فظيعة وغنائي الفظيع
4496,إمكان ليه إلاڭيك بشي موءساسا خيريا,يمكنه أن يضعك في تواصل مع جمعية خيرية
4497,واش لأغاني كانو خيبين بزاف?,هل الأغاني سيئة للغاية؟
4498,شنو هوما?,ما هم؟
4499,من أشمن عاصر?,من أي عصر؟
4500,كانضان سماعت لجاراس ديال لعشا,أعتقد أنني سمعت جرس وجبة المساء
4501,واش أتبقا تاكول شويا أُلا أيخاساك تمشي دابا?,هل ستبقى لتناول بعض الطعام أم عليك المغادرة الآن؟
4502,حنا مامعوّلينش نڭلسو نتعشاو,لا نخطط للبقاء لتناول العشاء
4503,كانتمنّا نقدر نرجع قاريبان,آمل أن أستطيع العودة قريبًا
4504,إمكان لينا نبلانيو باش نبقا نتعشا معاكوم,يمكننا الترتيب لبقائي لتناول العشاء معك
4505,شوكران بزاف حيت جيتي تشوفني,شكراً جزيلاً لحضورك لرؤيتي
4506,شوكران بزاف حيت جيتو تشوفوني,شكراً جزيلاً لحضوركم لرؤيتي
4507,هادشي كايعني بزاف ليا أنّانا نبقاو علا إتّيسال,يعني لي الكثير أن أبقى على تواصل
4508,إنشالاه ترجاع مرا خرا فلقاريب لعاجيل,آمل أن تتمكن من القدوم مجددًا قريبًا
4509,"مزيان ملي شفتاك, تانتا",كان من دواعي سروري أن ألتقي بك أيضًا
4510,غادي نرجاع من باعد,سأعود
4511,دابا نرجاع,سأعود
4512,غادي نرجاع,سأعود
4513,يمكان سيمانا جايا,ربما في الأسبوع القادم
4514,هاد لباطّ لمنحوس رقيق بزاف,هذه البطات المسكينة نحيفة جدًا
4515,واش عنداك خوبز ليتعتي?,هل لديك خبز لتعطيه؟
4516,عندي شي طريفات,لدي بضع الشرائح 
4517,كان شتا سعيب بنسبا ليهوم أُماكانضنش واش عندهوم بزاف ديال لماكلا,لقد كان شتاءً قاسيًا بالنسبة لهم ولا أعتقد أنهم تناولوا الكثير من الطعام
4518,راه بداو تايبنيو لعاش ديالهوم,لقد بدأوا ببناء أعشاشهم
4519,غادي إحتاجو شوييا ديال دوهون ملي إبغيو إڭلسو علا لبيض,سيحتاجون إلى بعض الدهون عندما يجلسون على البيض
4520,"أهيا, بانلييا بحال كاتعراف هاد لكلاب",مرحباً، يبدو أنك تعرف هذه الكلاب
4521,منين تعلامتي ڭاع هادشي?,من أين تعلمت كل هذا؟
4522,أنا متخاساس فعيلم تيور,أنا متخصص في علم الطيور
4523,كانداوز لعوتلات ديال لخار سيمانا فقرايا ديال تويور أُكانقلاب علا أنواع ناديرا,أقضي عطلات نهاية الأسبوع في دراسة الطيور والبحث عن الأنواع النادرة
4524,كانشوف بلي راك متخاساس!,أرى أنك متخصص!
4525,كانبغي التا ندور أُنسماع لطيور,أحب أن أتمشى وأستمع إلى الطيور أيضا 
4526,والاكين مكانعراف عليها والو,ولكني لا أعرف أي شيء عنها
4527,أشنهوما لأنواع الناديرا ليكاتقلاب عليها?,ما هي الأنواع النادرة التي تبحث عنها؟
4528,لعانداليب راه ماكايناش بزاف,العنادل نادرة جدًا
4529,كايغنيو بشاكال زوين بزاف,يغنون بشكل جميل
4530,"والاكين ملي كايتعالاق لأمار بأغنيا ديال لعاسافير, أنا كانبغي صاوت ديال شاحرور سافيق",لكن عندما يتعلق الأمر بأصوات الطيور، أحب الصوت الجريء للطائر الأسود
4531,ماكانضنش واش إمكان إغالب علا نواد علا ساوت ديال تيور لقاساح,لا أعتقد أن هناك ما يتفوق على الاستيقاظ على أصوات الطيور الصاخبة
4532,سافارتي فبولدان بعيدا باش تشوف أنواع ناديرا بزاف أُتسماع ليها?,هل سافرت إلى بلدان بعيدة لرؤية بعض الأنواع النادرة جدًا والاستماع إليها؟
4533,"أه, كانت ف صري لانكا غير موأخاران أُشافت شي طيور أُحاياونات واعرا",نعم، كنت في سريلانكا مؤخرًا ورأيت بعض الطيور والحيوانات الرائعة
4534,واش سافرتي بزاف?,هل سافرت كثيرًا؟
4535,"أه, بزاف",نعم، كثيرًا
4536,أكتاريا ف أمريكا لجانوبيا فين كاينين حاياونات فشكل ف غابات أمازون,خاصة في أمريكا الجنوبية حيث يوجد حيوانات استثنائية في غابات الأمازون
4537,واش لقيتي شي فورسا باش توصال لتما?,هل سنحت لك الفرصة للذهاب إلى هناك؟
4538,كاينين شي طيور واعرا فلبرازيل,هناك بعض الطيور المدهشة في البرازيل
4539,"لا, بغيت نمشي ل أمريكا لجانوبيا أُبلخوسوس لبرازيل",لا، أود حقًا أن أذهب إلى أمريكا الجنوبية وخاصةً البرازيل
4540,غادي إكون مودهيل تشوف طوكان فلبارّيا,سيكون من المدهش رؤية طائر التوكان في البرية
4541,أنحتاج نجماع ليغادي إكفيني ديال لفلوس باش نمشي لتما,أحتاج إلى توفير ما يكفي من المال للذهاب إلى هناك
4542,"أه, ريحلا ل أمريكا لجانوبيا غاطّلع غاليا",نعم، رحلة إلى أمريكا الجنوبية ستكون مكلفة
4543,بغيت نمشي ل أرجونتين أُنشوف كوندورس,أود الذهاب إلى الأرجنتين ورؤية الكندور
4544,سماعت بلي أرڭنتين بلاد زوينا تاهيا أُعندها ماناضير طابيعيا خالّابا,لقد سمعت أن الأرجنتين أيضًا بلد جميل بها مناظر طبيعية خلابة
4545,هيا داولا ماكانعرافش عليها بزاف,إنها دولة أعرف عنها القليل جدًا
4546,غادي إخاسني ندير شوييا ديال لباحت,سأضطر إلى إجراء بعض البحوث
4547,غادي إخاسني نبحت شويا,سأضطر إلى إجراء بعض البحوث
4548,أيخسنا نمشيو لجانوب ل فير ناتيون,يجب أن نذهب جنوبًا إلى أمة النار
4549,شيل حتا هيا بلاد زوينا,تشيلي أيضًا بلد جميل
4550,غادي تلقا تما حاياونات كتار من هاد لمشاش!,ستجد هناك حيوانات أكثر من تلك القطط!
4551,"أهلان, أنا بيخير شوكران",مرحباً، أنا بخير شكراً لك
4552,كيف راك ليوم?,كيف حالك اليوم؟
4553,هادا واقت مازيان باش تواكال لحاياوانات,هذا وقت مناسب لإطعام الحيوانات
4554,علاش هادشي?,لماذا ذلك؟
4555,حيتاش هوما جيعانين,لأنهم جائعون
4556,كايبانو بلي جيعانين,يبدون جائعين
4557,كايبان فيهوم الجوع,يبدون جائعين
4558,أش أيخسّنا نعطيوهوم ياكلو?,ماذا يجب أن نقدم لهم ليأكلوا؟
4559,سماعت بلي لخوبز ماشي مزيان ليهوم,لقد سمعت أن الخبز ليس جيدا لهم
4560,سماعت بلي لحم مامزياناش ليهوم,لقد سمعت أن اللحم ليس جيدا بالنسبة لهم
4561,أش بان ليك?,ما رأيك؟
4562,هوا كايعتاقد بلّي تعطي لخوبز لمشاش ماشي مازيان ليهوم,يعتقد أن إعطاء القطط خبزًا ليس جيدًا لها
4563,حسان تعتيهوم خيزو,من الأفضل أن تعطيهم جزراً
4564,خيزو إقدر إغراق قبال مايوصلو ياكلوه!,قد يغرق الجزر قبل أن تتاح لهم الفرصة لأكلها!
4565,واش خيزو ماكايبقاش فوق لما?,ألا يطفو الجزر؟
4566,إلا تواسلنا إقدار إجيو إتغدّاو.,إذا تواصلنا، ربما سيأتون لتناول الغداء.
4567,"ف أسواء لأحوال, غادي إهبطو",في أسوأ الأحوال، سينخفضون
4568,كاتمنّاو مايغرقوش ملي إكونو كاياكلو,نأمل ألا يغرقوا أثناء الأكل
4569,هاداك غادي إكون واقت غدا حازين ليهوم,ذلك سيكون وقت غداء حزين لهم
4570,إمكان نقادرو نحاولو أُنضاربوهوم?,ربما يمكننا أن نحاول ونضربهم؟
4571,إلا درنا أصوات ديال لعيودان إقدرو إجيو!,إذا أصدرنا أصوات الخيل، قد يأتون إلينا!
4572,نحاولو?,هل نجرب؟
4573,يالّاه نجرّبو,لنجرب
4574,أجي لهنا عندنا مايتكال,تعال إلى هنا، لدينا شيء لنأكله
4575,راه جا,جاء
4576,راه جات,لقد جاءت
4577,راه جاو,لقد أتوا
4578,خدا خيزو من إديك!,أخذ الجزرة من يدك!
4579,قبال مايمشي,قبل أن يغادر
4580,فات لحال,متأخر جدًا
4581,مشا لحال,متأخر جدًا
4582,راه خاف,لقد خاف
4583,راه شدّاتو لخلعا,لقد خاف
4584,ماخلّا غير الريش ملي كان خاراج,كل ما تركه كانت ريشات على الطريق للخروج
4585,إمكن غادي إتداعب لمرا جايا,ربما سيتم مداعبته في المرة القادمة
4586,أيخسنا نكمهيو لدار,يجب أن نذهب إلى البيت
4587,أيخسنا نرجعو لدار,يجب أن نعود إلى البيت
4588,ماساء لخير أ صاحبي,مساء الخير، يا صديقي
4589,مسا لخير أ عشيري,مساء الخير، يا صديقي
4590,كيف راك هاد لعشييا,كيف حالك هذا المساء؟
4591,كرشي منفوخا نيت أصاحبي,لدي غازات مروعة يا صديقي
4592,لماكلا هنا خايبا بزاف!,الطعام هنا فظيع!
4593,"أُه, شارف ديالي لماسكين",يا رجلي العجوز الفقير
4594,جبت ليك قارعا ديال شراب,أحضرت لك زجاجة من النبيذ
4595,تاحد ماشاف شي حاجا,لم يرَ أحدٌ أي شيء
4596,"هنا, غادي نخبيها ليك",هنا، سأخفيه لك
4597,شوكران والاكين واش ماغاديش تاخود شوييا معايا?,شكرًا ولكن ألن تتناول بعضًا معي؟
4598,هادشي خليتو ليك,الأمر يعود إليك
4599,اللي بالّيك,الأمر يعود إليك
4600,إمكان ليك تحتافض بيها لراسّاك,يمكنك الاحتفاظ به لنفسك
4601,إمكان لينا نشاربو من جوج,يمكننا أن نشرب من اثنين
4602,"أُ إمكن لينا التا نعاردو علا لفرمليا لي تساتحت معاها ملي كنت جاي""",أو يمكننا أيضًا دعوة الممرضة التي صادفتها عندما دخلت
4603,هيا لاباس!,هي بخير!
4604,"أه, هانيا",نعم، لا بأس
4605,لأغلابيا ديال ناس لقدام هنا ماكايعرفوش أش ليوم أُمغاديش إلاحضو داكشي كيمّا كان لحال!,معظم كبار السن هنا لا يعرفون أي يوم هو ولن يلاحظوا على أي حال!
4606,كانعراف أشمن فارمليا كاتقصاد,أعرف أي ممرضة تقصد
4607,دارت ليا ماسّاڭ زوين ڭبيلا!,أعطتني تدليكًا لطيفًا في وقت سابق!
4608,ماسّاڭ?,هل قام بتدليكك؟
4609,"واش خلاستيها علا داكشي, أُلا كاضن بلي عجبتيها?",هل دفعت لها مقابل ذلك، أم تعتقد أنها تحبك؟
4610,"أه, لفرمليات كايديرو لينا ماسّاڭ ديما",نعم، الممرضات يقدمن لنا التدليك طوال الوقت
4611,خديت لأغليابيا ديالهوم,أخدت معضمهم
4612,كايابن ليا بلي لفارمليات كايديرو صافّ!,يبدو أن الممرضات يصطففن في طابور!
4613,ماغاديش تاخاد حتا شي فلوس من عندي,لم تأخذ أي مال مني
4614,كاتڭول بلي لخادامات ديالها فابور والاكين مامتأكادش شنو كاتقساد?,تقول إن خدماتها مجانية لكنني لست متأكداً مما تعنيه؟
4615,"همّ, هادشي زوين, والاكين غاريب شويا, أُلّالا?",همم، هذا جميل، ولكن غريب بعض الشيء، أليس كذلك؟
4616,"كانقساد, بالاك!",أعني، مهما يكن!
4617,ليكايهام هوا أناهو كاينا موماريدا زوينا بحال هادي كادير ليك ماسّاڭ,المهم أن هناك ممرضة جميلة مثل تلك تقوم بتدليكك
4618,"إوا, واش نحالّو هاد قارعا ديال شراب?",إذًا، هل نفتح هذه الزجاجة من النبيذ؟
4619,"أه, خلينا نفتحوها",نعم، لنقم بفتحه
4620,عندي جوج كيسان ديال شراب زوينين فلخيزانا حدا ناموسيا ديالي,لدي كأسين جميلين للنبيذ في خزانة ملابسي الجانبية
4621,أُعندي كارطا تاهيا,لدي أيضًا بعض أوراق اللعب هنا
4622,واش نعارضو علا شي واهد أُلا جوج خرين أُنقدرو نلعبو پوكر?,هل ندعو واحدًا أو اثنين من الآخرين لنلعب جميعًا البوكر؟
4623,هادي فيكرا مزيانا,هذه فكرة جيدة
4624,بغيتيني نداق لبيبان أُلا عانداك شي أشخاس فعاقلاك?,تريد مني أن أطرق الأبواب، أم لديك أشخاص محددين في ذهنك؟
4625,"أي واهد, غير فوت عليك لباب راقم 6",أي شخص، فقط تأكد من تجنب الباب رقم 6
4626,"السيدا تماك هبيلا, أُكاترمي لباطل علا أيّ واهد!",السيدة هناك مجنونة، تلفق التهم على الجميع!
4627,"واخا, غادي نقلاب علا الناس أُ نرجاع!",حسنًا، سأبحث عن الناس وسأعود حالًا!
4628,غادي نرجاع دابا,سأعود حالاً
4629,شويا أُنجي,سأعود حالاً
4630,أنا ماشطون علا لواليدا,أنا قلق بشأن أمي
4631,عاودليا علا لواليدا ديالك,أخبرني عن والدتك
4632,علاش نتا ماشطون عليها?,لماذا أنت قلق بشأنها؟
4633,أودي أنا ماشتون كتار علا شنو كاتخالّيني ندير!,حسنًا، أنا أشعر بالقلق أكثر بشأن ما تجعلني أفعله!
4634,أُه?,آه؟
4635,أش كادير ليك?,ماذا تفعل لك؟
4636,ماكايبانش ليا بلي عندي حتا شي واقت خاسّ بيا,أبدًا لا يبدو أنني أحصل على أي وقت لنفسي
4637,هيا ديما تما,هي دائمًا هناك
4638,كاتڭوليك ديما شنو دير أُكيفاش ديرو?,هي تخبرك طوال الوقت بما يجب عليك فعله وكيفية القيام به؟
4639,"المم, لا ماشي ڭاع هاكّاك, والاكين كايبان بحال ألا حاضياني",حسنًا، لا ليس حقًا، ولكن الأمر كأنها تراقبني
4640,أُ كاتحاس بحال هيا فموحاكاما?,وتشعر أنها تحاكم؟
4641,بحالا أنا ف لموحاكاما,الأمر أشبه بأنني أخضع لمحاكمة
4642,أُ كانضن بلي كتباعني,وأعتقد أنها تتابعني
4643,واش هيا كاتبعاك?,هل هي تتبعك؟
4644,"فلمديبا, فڭاع لبلايص?",في المدينة، في كل مكان؟
4645,ماشي فڭاع لبلايص والاكين لبارح كنت فلقاهوا أُشفتها حدا لباب,ليس في كل مكان ولكني كنت في مقهى أمس ورأيتها عند الباب
4646,ملّي قلّبت كانت مشات!,عندما نظرت، كانت قد اختفت!
4647,واش نتا ماتءكاد بلي كانت هيا?,هل أنت متأكد أنها كانت هي؟
4648,باش تكون صاريح...,لكي أكون صادقًا...
4649,مامتءكادش واش كان أي واهد تماك,لست متأكدًا من أن أحدًا كان هناك
4650,علا من كانتي كاتجاسّاس?,على من كنت تتجسس؟
4651,علاش كاضّنّ بلي كنت كانتجاساس?,لماذا تعتقد أنني كنت أتجسس؟
4652,لا لا كانت كانساولاك شكون ليكان كايتجاساس فل لباب,لا، لا، كنت أسألك من كان يتجسس على الباب
4653,كانت مرا لابسا كبّوط كحال أُ هازّا مضالّا,كانت امرأة ترتدي معطفًا أسود تحمل مظلة
4654,كان عاندها شعار سفار طويل مربوت,كان لديها شعر أشقر طويل مربوط على شكل كعكة
4655,أُ لواليدا ديالك ديرا بحال هاكا?,وهل تبدو والدتك هكذا؟
4656,تقريبان... بحال سورا ديالها كا مرا شابّا,نوعاً ما... إنها مثل صورها وهي شابة
4657,"والاكين إمكان مكانتش هيا, ديك ساع, ياك?",لكن من المحتمل أنها لم تكن هي، أليس كذلك؟
4658,أش كان عليك دير معا لواليدا ديالك ملي كانتي صغير?,ماذا كان عليك أن تفعل مع والدتك عندما كنت طفلاً؟
4659,هادشي ليقصادت ب أنّاني مامتأكادش واش كان شي حاد تما,هذا ما كنت أعنيه عندما قلت إنني لست متأكداً من وجود أي شخص هناك
4660,ولّافت نحات تسويرا ديالها ف لحيط حدا ناموسيا ديالي,كنت أضع صورة لها معلقة على الجدار بجانب سريري
4661,ولّفت أناني نبكي بزاف,كنت أبكي كثيرًا
4662,كنت كانبكي بزاف,كنت أبكي كثيرًا
4663,أنا عاقل علا هادشي,أتذكر ذلك
4664,واش تهلات فيك مزيان?,هل اعتنت بك كثيرًا؟
4665,ملّي كانت فدار أه,نعم، عندما كانت في المنزل
4666,والاكين كانعقل أنّاها كانت بعيدا علا دار بزاف لواقت,لكن أتذكر أنها كانت غائبة عن المنزل كثيرًا
4667,واش تواحاشتيها ملي كانت بعيدا?,هل اشتقتَ إليها عندما كانت بعيدة؟
4668,أه,نعم
4669,والاكين ماكانضنش واش كانت بعيدا بزاف,لكني لا أعتقد أنها كانت بعيدة إلى ذلك الحد
4670,"لسوء لحاض, تسالا لواقت ديالنا, جا لواقت لماريدا ديالي ليمن باعد",للأسف، انتهى وقتنا، حان وقت المريض التالي
4671,"ليلأساف, مرّا خرا",للأسف، في وقت آخر
4672,"غادي ترجاع سيامانا جايا, فنافس لواقت, فنافس لواقت?",سوف تعود في الأسبوع القادم، في نفس الوقت، في نفس الوقت،؟
4673,شوكران ليك أ طبيب,شكراً يا دكتور
4674,أه كانضن بلي لواليدا ديالي كاتسانّاني,نعم أعتقد أن أمي تنتظرني
4675,لايلا ساعيدا,تصبح على خير
4676,"هي, نتا, واش يالاه دخلتي لحاي?",أهلاً، هل أنت جديد في الحي؟
4677,هادي أول مرا نشوفاك فيها,هذه هي المرة الأولى التي أراك فيها
4678,سامحنا,آسف
4679,"والاكين ماكانحمالش لي إعيّط عليا ب 'هي, نتا'",ولكنني لا أحب أن يُنادى عليّ بـ'يا أنت'
4680,كيفاش غانعرف تابلا لي نڭلس فيها?,كيف كنت لأعرف على أي طاولة يجب أن أجلس؟
4681,غادي نڭلاس فلبار,سأجلس عند البار
4682,إلا كان هادشي ماسموح?,إذا كان ذلك مسموحًا؟
4683,"أُه, عانداك شاخصيا!",آه، لديك شخصية مميزة!
4684,ماتقلّاقش!,لا تنزعج!
4685,مايبقاش فيك لحال!,لا تنزعج!
4686,واش نجيب شي حاجا?,هل يمكنني أن أحضر لك شيئًا؟
4687,نجيب ليك معايا شي لعيبا?,هل يمكنني أن أحضر لك شيئًا؟
4688,كانضنّ بلي بدينا بيدايا خايبا,أعتقد أننا بدأنا بداية سيئة
4689,أنا ڭاع مامقلاق,أنا لست مستاء
4690,هضرتاك بانت بحالا مامرحّبش بيا,بدا لهجتك غير مرحبة
4691,غادي ناخود نابيد حمر أُ أه أنا كانتسانا صاحبي,سأطلب نبيذًا أحمر ونعم، أنا في انتظار صديق
4692,واش كاين شي سوأل أخور?,هل هناك أي أسئلة أخرى؟
4693,سماحليا مابغتيش نزارّباك,أنا آسف، لم أكن أريد أن أستعجلك
4694,واش كاين نابيد ماحالي بشكال خاص?,هل يوجد نوع من النبيذ يعتبر محلي بشكل خاص؟
4695,إمكن غاتكون مرتاح حسن فديك طبلا لور لهيه?,قد تكون أفضل حالاً عند الطاولة الخلفية هناك؟
4696,"واه هنا مرتاح, بعيد شوييا علا لكليان لخرين",إنه مكان دافئ بعض الشيء، بعيد قليلاً عن بقية الزبائن
4697,"عندنا غير لبيرا ديال هنا, أُ نابيد كايجي من بوردوش",لدينا فقط بيرة محلية، النبيذ يأتي من بوردو
4698,أه فهامت دابا,آه، أنا أفهم الآن
4699,"ملي قالتي تابلا عاديا, كنت كاندان واش كنت ڭالس ف تابلا ديال شي وهاد أخور",عندما قلت طاولة عادية ظننت أنني جالس على طاولة عميل آخر عادية
4700,واش نقدار ناخاد بيرا?,هل يمكنني الحصول على بيرة؟
4701,واش واخا ناخاد بيرا?,هل يمكنني الحصول على بيرة؟
4702,"أه, كيما كاتشوف, كاينين 12 أُ كايجيو كول نهار معا ء:00",نعم، كما ترى، هناك 12 ويأتون كل يوم في الساعة الثانية
4703,"راهوم سكرانين ديال بساح, كانقتاراح أنّاك تباعاد",إنهم سكارى حقيقيون، أنصحك بالابتعاد
4704,"طابعان, غادي نجيب لبيرا",بالتأكيد، سأحضر البيرة
4705,كانشوف شنو بغيتي تڭول,أرى ما تعنيه الآن
4706,تانشكروك,شكراً
4707,ساحباك كايبان لييا ماكاينش هنا,يبدو أن صديقك ليس هنا
4708,واش بغيتيني نبقا معاك?,هل تريد مني أن أؤنسك؟
4709,واش بغيتيني نبقا معمّر عليك?,هل تريد مني أن أؤنسك؟
4710,أُه هادا لوطف كبير مناك,أوه، هذا لطف كبير منك
4711,ماغاديش تكون طويلا,لن تطول
4712,خليني نقدّام راسي,دعني أعرفك بنفسي
4713,سمايتي إستهر,اسمي إستير
4714,سميّتي إستهر,اسمي إستير
4715,أُشنو سميتاك نتا?,ما هو لك؟
4716,سميتي ماتهيلد,اسمي ماتيلد
4717,واش كاتعيش قريب لهنا?,هل تعيش هنا بالقرب؟
4718,قليل فاش كانشوفو وجوه جديدا,من النادر رؤية وجوه جديدة
4719,سماحليا خسّني نمشي,آسف، يجب أن أذهب
4720,نشوفاك غدّا,أراك غدًا
4721,"واخا, نشوفاك غدا!",حسنًا، سأراك غدًا!
4722,"صباح لخير, ماريا!",صباح الخير، ماريا!
4723,إوا إوا,هكذا هكذا
4724,رجل كاتلعب شوييا,الساق تؤلم قليلاً
4725,أُلفرمليات كايبرزتوني فكول مرّا كايديني فيها نعاس,والممرضات يستمرن في إزعاجي في كل مرة أغفو
4726,مايمكنش ناخود راحتي هنا!,لن تحصل على أي سلام هنا أبدًا!
4727,"أه بسّح, كايدوزو واقتهوم ف أناهوم إبارزتونا",صحيح، إنهم يقضون وقتهم في إزعاجنا
4728,كاتبقا تحراك لحوايج فلبيت,إنها تحرك الأشياء في الغرف
4729,"كاتڭول لينا نامشيو لهنا, دير هادي, پفّت",تقول لنا اذهبوا إلى هنا، افعلوا ذلك، تفف
4730,شكون هادي?,من ذلك؟
4731,مابقيتش كانشوف مازيان,لا أستطيع الرؤية جيدًا بعد الآن
4732,علاش كاينا مرا بلبيت ديالي?,لماذا توجد امرأة في غرفتي؟
4733,أُ ماخسكش تشكا!,ويجب ألا تكون تشتكي!
4734,"خاسك تبقا فدار أُتعيش حياتاك, بينما أنا واحل هنا",أنت تحصل على البقاء في المنزل وعيش حياتك، بينما أنا عالق هنا
4735,غي كانت كاندحاك!,كنت أمزح!
4736,كانت هي كانقشب معاك!,كانت تمازحك!
4737,كانت هي كانضحك معاك!,كانت تمازحك!
4738,راه كايديرو داكشي لمصلاحتاك,إنهم يفعلون ذلك لمصلحتك الخاصة
4739,لمصلاحتي?,من أجل مصلحتي الخاصة؟!
4740,"صافي, صافي!",هذا هو، هذا هو!
4741,كنتي كادهدر علييا مورا داهري,لقد كنت تتحدث عني خلف ظهري
4742,"قالبوك ضاضّي, أنا عارف!",لقد جعلوك ضدي، أنا أعلم ذلك!
4743,"إوا سافي, سافي, راك عارف ماعمّرني ندير هادشي!",هيا، هيا، أنت تعلم أنني لن أفعل ذلك أبدًا!
4744,عاود لييا علا نهارك,حدثني عن يومك
4745,شنو كليتي?,ماذا أكلت؟
4746,كانتي كاتهدر علا لفرمليات,لقد كنت تتحدث إلى الممرضات
4747,كانو كايحولو إخلّيوني نبقا ناكول نهار كاملو,لقد حاولوا إقناعي بالأكل طوال اليوم
4748,والاكين أنا داكي عليهوم,ما عدا أنني أذكى منهم
4749,أنا عارف أنّاهوم كايحاولو إسمموني,أعلم أنهم يحاولون تسميمي
4750,داكشي علاش خابيت شي حلوا هنا تاحت مخادّتي,لذا قد أحتفظت بمخبأ صغير من الحلويات هنا تحت وسادتي
4751,بهاكا ماغاديش إجيني جوع ڭاع,بهذه الطريقة لن أجوع أبدًا
4752,"ماتبقاش غي كاتخرباق, مايمكانش إديرو هادشي",توقف عن الكلام الفارغ، لن يفعلوا ذلك أبدًا
4753,"الربيع هادا, شي خرجا لجاردا?",إنه الربيع، ما رأيك في نزهة في الحديقة؟
4754,إمكان نبارمجوها فل ويكند الجاي ديال ماي,يمكننا ترتيب ذلك لعطلة نهاية أسبوع في شهر مايو
4755,"غادي نسوّل مارسل, جانّين أُ لون إلا باغاو إجيو",سأسأل مارسيل، جانين وليون إذا أرادوا الحضور
4756,مابقيتش مصاحب معا جانّين,لم أعد صديقًا لجانين
4757,ديما كاتسرق ليا ألكليمات ألموتاقتيعا,هي تستمر في سرقة كلماتي المتقاطعة
4758,"هادشي خايب, غادي نديروها بلا بيهوم!",للأسف، سنقوم بها بدونهم!
4759,أفن ألعشران,مرحبا يا اصدقاء
4760,ماساء ألخير,مساء الخير
4761,كولشي بيخير أُنتا?,جيد جدًا شكرًا، وأنت؟
4762,كيراك غادي فلمورجاعا ديال إمتيحان رييادييات?,كيف تعتقد أنك تتقدم في مراجعتك لامتحان الرياضيات؟
4763,بيخير شوكران بزيف,أنا بخير، شكراً جزيلاً
4764,"مامتءكادش, فلحاقيقا",أنا لست متأكدًا، في الواقع
4765,لقيت صوعوبا شويا ف فاهم لموعدالات تافادولييا,أواجه بعض الصعوبة في فهم المعادلات التفاضلية
4766,مومكين تعاوني عافاك?,هل يمكنك مساعدتي، من فضلك؟
4767,شنو لي ماقدرتيش تفهم بدابت?,ما هو بالضبط الذي تجد صعوبة في فهمه؟
4768,"ليلأساف, مافهامتش لجوملا لاخرا, مومكين تعاود تشرحها لييا?",للأسف، لم أفهم الجملة الأخيرة، هل يمكنك صياغتها بطريقة أخرى؟
4769,بطابيعت لحال,بالطبع
4770,شنو لمافاهيم لي ماحتاج نعوناك فيها?,بأي المفاهيم تحتاج مساعدة؟
4771,ماحتاج شارح تل موشتاقّات,أحتاج إلى شرح حول المشتقات
4772,كانلقا صوعوبا ف فاهم ألمبداء,أواجه صعوبة في فهم المبدأ
4773,ماكاين تا موشكيل,لا مشكلة
4774,واش تافادول أُلا تاكامول لي ماحتاج لموسعدا فل مابداء ديالو?,هل تحتاج المساعدة في مبدأ التفاضل أو التكامل؟
4775,واش مان لمافرود لمتيحان يغاطّي ڭاع مافاهيم ليقريتوها ف الدورا تانيا?,هل من المقبول أن يغطي الامتحان جميع المفاهيم التي رأيتها في الفصل الدراسي الثاني؟
4776,"أه, غادي نتختابرو ف كولشي ف لفاصل تاني",نعم، سيتم تقييم كل شيء في الفصل الدراسي الثاني بشكل كامل
4777,واش كاينا شي حاجا خرا نقدار نعاون فيها ليوم,هل يوجد شيء آخر يمكنني المساعدة به اليوم؟
4778,"غادي يبدا دارس ديالي جاي قريب, داكشي علاش ماعنديش بزاف ديال لواقت لسوء لحاض",ستبدأ درسي القادم قريبًا لذا ليس لدي الكثير من الوقت للأسف
4779,"ماشي موشكيل, هادشي بزاف",لا مشكلة، هذا كثير
4780,شوكران علا واقتاك,شكراً لك على وقتك
4781,"ماشي موشكيل, تماتاع بلي بقا من لعشييا",لا مشكلة، استمتع ببقية مسائك!
4782,"أهلان, يالاه نمشيو نعومو",هيا لنذهب للسباحة
4783,لا,لا
4784,بلاش,لا حاجة
4785,أنا بيخير هنا شوكران,أنا بخير هنا شكرًا
4786,والاكين يامكن ليك تجيب لييا ماشروب إلا بغيتي,لكن يمكنك أن تحضر لي مشروبًا إذا أردت
4787,"واخا, والاكين فاقاط إلا لاحتي كتابك",حسنًا، ولكن فقط إذا أسقطت كتابك
4788,علاش?,لماذا؟
4789,أشنو لموشكيلا ديالي ألا كانقرا?,ما الخطأ في أن أقرأ؟
4790,واش مصادعاك?,هل أنا أزعجك؟
4791,واش أنا مبرزطك?,هل أنا أزعجك؟
4792,ماقادارش نشوف كيفاش... علاش ماتنضامش لييا?,لا أستطيع أن أرى كيف... لماذا لا تنضم إليّ؟
4793,جي عندي,انضم إليّ
